url	canasta	programa	anio	carpeta	archivo	formato	bytes_declarados	en_manifiesto
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_61_1016_shp.zip	denue		2016	otro	denue_00_61_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_52_1016_csv.zip	denue		2016	otro	denue_00_52_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_52_1016_shp.zip	denue		2016	otro	denue_00_52_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_53_1016_csv.zip	denue		2016	otro	denue_00_53_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_53_1016_shp.zip	denue		2016	otro	denue_00_53_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_54_1016_csv.zip	denue		2016	otro	denue_00_54_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_54_1016_shp.zip	denue		2016	otro	denue_00_54_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_48-49_1016_csv.zip	denue		2016	otro	denue_00_48-49_1016_csv.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_48-49_1016_shp.zip	denue		2016	otro	denue_00_48-49_1016_shp.zip	zip		no
https://www.inegi.org.mx/contenidos/masiva/denue/2016_10/denue_00_46112-46311_1016_csv.zip	denue		2016	otro	denue_00_46112-46311_1016_csv.zip	zip		no
